DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,KNN,10,2,0.8647,0.4323,0.5,0.4637,49546,0
Danmini_Doorbell,gafgyt,RFR,10,2,0.967,0.9712,0.886,0.9227,11152,922
Danmini_Doorbell,gafgyt,DTR,10,2,0.9652,0.9631,0.8849,0.9189,11157,1585
Danmini_Doorbell,gafgyt,ADB,10,2,0.9672,0.9714,0.8867,0.9232,11082,916
Danmini_Doorbell,gafgyt,KNN,50,8,0.9935,0.9963,0.976,0.9859,2373,0
Danmini_Doorbell,gafgyt,RFR,50,8,0.9967,0.9905,0.9956,0.993,298,910
Danmini_Doorbell,gafgyt,DTR,50,8,0.991,0.9846,0.9766,0.9806,2139,1164
Danmini_Doorbell,gafgyt,ADB,50,8,0.9905,0.9845,0.9748,0.9796,2314,1148
Danmini_Doorbell,gafgyt,KNN,100,16,0.9934,0.9962,0.9756,0.9856,2413,0
Danmini_Doorbell,gafgyt,RFR,100,16,0.9988,0.9974,0.9973,0.9974,230,223
Danmini_Doorbell,gafgyt,DTR,100,16,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,ADB,100,16,0.9914,0.9872,0.9757,0.9813,2270,892
Danmini_Doorbell,gafgyt,KNN,500,78,0.9934,0.9962,0.9755,0.9855,2420,0
Danmini_Doorbell,gafgyt,RFR,500,78,0.9993,0.9978,0.9994,0.9986,21,218
Danmini_Doorbell,gafgyt,DTR,500,78,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,ADB,500,78,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,KNN,1000,156,0.9933,0.9962,0.9755,0.9855,2417,0
Danmini_Doorbell,gafgyt,RFR,1000,156,0.9993,0.9979,0.9992,0.9985,47,205
Danmini_Doorbell,gafgyt,DTR,1000,156,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,ADB,1000,156,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,KNN,5000,782,0.9952,0.9921,0.9878,0.9899,1093,590
Danmini_Doorbell,gafgyt,RFR,5000,782,0.9997,0.9993,0.9995,0.9994,39,58
Danmini_Doorbell,gafgyt,DTR,5000,782,0.9995,0.999,0.9989,0.999,92,82
Danmini_Doorbell,gafgyt,ADB,5000,782,0.9996,0.9992,0.9992,0.9992,63,72
Danmini_Doorbell,gafgyt,KNN,10000,1565,0.9961,0.9929,0.9915,0.9922,726,552
Danmini_Doorbell,gafgyt,RFR,10000,1565,0.9998,0.9994,0.9999,0.9996,2,62
Danmini_Doorbell,gafgyt,DTR,10000,1565,0.9997,0.9991,0.9997,0.9994,13,85
Danmini_Doorbell,gafgyt,ADB,10000,1565,0.9995,0.9992,0.9989,0.999,100,59
Danmini_Doorbell,gafgyt,KNN,50000,7824,0.9975,0.9965,0.9953,0.9959,340,210
Danmini_Doorbell,gafgyt,RFR,50000,7824,0.9999,0.9998,0.9999,0.9998,6,18
Danmini_Doorbell,gafgyt,DTR,50000,7824,0.9998,0.9997,0.9997,0.9997,20,24
Danmini_Doorbell,gafgyt,ADB,50000,7824,1.0,1.0,0.9999,1.0,5,1
Danmini_Doorbell,gafgyt,KNN,100000,15648,0.9978,0.9977,0.9968,0.9972,188,85
Danmini_Doorbell,gafgyt,RFR,100000,15648,0.9999,0.9998,0.9999,0.9999,0,11
Danmini_Doorbell,gafgyt,DTR,100000,15648,0.9999,0.9999,0.9999,0.9999,5,7
Danmini_Doorbell,gafgyt,ADB,100000,15648,1.0,1.0,0.9999,0.9999,5,1
Danmini_Doorbell,gafgyt,KNN,200000,31295,0.9978,0.9978,0.9977,0.9978,75,9
Danmini_Doorbell,gafgyt,RFR,200000,31295,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,gafgyt,DTR,200000,31295,0.9999,0.9999,0.9999,0.9999,4,0
Danmini_Doorbell,gafgyt,ADB,200000,31295,1.0,1.0,1.0,1.0,1,0
Danmini_Doorbell,mirai,KNN,10,1,0.9294,0.4647,0.5,0.4817,49547,0
Danmini_Doorbell,mirai,RFR,10,1,0.9458,0.9724,0.6163,0.6745,38024,0
Danmini_Doorbell,mirai,DTR,10,1,0.9844,0.9095,0.9916,0.946,0,10954
Danmini_Doorbell,mirai,ADB,10,1,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,50,4,0.9646,0.8376,0.9548,0.8854,2809,22023
Danmini_Doorbell,mirai,RFR,50,4,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,50,4,0.9999,0.9993,0.9999,0.9996,0,71
Danmini_Doorbell,mirai,ADB,50,4,0.9999,0.9993,0.9999,0.9996,0,71
Danmini_Doorbell,mirai,KNN,100,8,0.9958,0.9977,0.9699,0.9834,2978,0
Danmini_Doorbell,mirai,RFR,100,8,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,100,8,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,100,8,0.9963,0.975,0.998,0.9862,0,2606
Danmini_Doorbell,mirai,KNN,500,38,0.9957,0.9977,0.9697,0.9833,2996,0
Danmini_Doorbell,mirai,RFR,500,38,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,500,38,0.9998,0.9995,0.9991,0.9993,89,42
Danmini_Doorbell,mirai,ADB,500,38,0.9999,0.999,0.9999,0.9995,0,101
Danmini_Doorbell,mirai,KNN,1000,76,0.9966,0.9945,0.9794,0.9868,2005,376
Danmini_Doorbell,mirai,RFR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,1000,76,0.9999,0.999,0.9999,0.9995,0,100
Danmini_Doorbell,mirai,KNN,5000,380,0.9969,0.9942,0.9824,0.9882,1693,428
Danmini_Doorbell,mirai,RFR,5000,380,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,5000,380,0.9999,0.9993,0.9999,0.9996,0,66
Danmini_Doorbell,mirai,ADB,5000,380,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,10000,760,0.9971,0.9958,0.9826,0.9891,1679,266
Danmini_Doorbell,mirai,RFR,10000,760,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,10000,760,0.9999,0.9995,0.9999,0.9997,8,53
Danmini_Doorbell,mirai,ADB,10000,760,0.9999,0.9995,0.9999,0.9997,8,53
Danmini_Doorbell,mirai,KNN,50000,3799,0.9974,0.9947,0.9888,0.9918,987,381
Danmini_Doorbell,mirai,RFR,50000,3799,1.0,0.9998,1.0,0.9999,0,17
Danmini_Doorbell,mirai,DTR,50000,3799,1.0,0.9998,0.9999,0.9999,9,15
Danmini_Doorbell,mirai,ADB,50000,3799,1.0,1.0,0.9998,0.9999,21,0
Danmini_Doorbell,mirai,KNN,100000,7598,0.9972,0.9933,0.9923,0.9928,586,488
Danmini_Doorbell,mirai,RFR,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,DTR,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,ADB,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,KNN,200000,15196,0.9971,0.9956,0.9936,0.9946,399,228
Danmini_Doorbell,mirai,RFR,200000,15196,1.0,0.9999,0.9999,0.9999,6,4
Danmini_Doorbell,mirai,DTR,200000,15196,0.9999,1.0,0.9998,0.9999,11,0
Danmini_Doorbell,mirai,ADB,200000,15196,0.9999,0.9999,0.9999,0.9999,7,4
Ecobee_Thermostat,gafgyt,KNN,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,RFR,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,DTR,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,ADB,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,KNN,50,2,0.9595,0.4797,0.5,0.4897,13111,0
Ecobee_Thermostat,gafgyt,RFR,50,2,0.9834,0.9865,0.7987,0.8684,5274,81
Ecobee_Thermostat,gafgyt,DTR,50,2,0.9863,0.976,0.8435,0.8981,4091,327
Ecobee_Thermostat,gafgyt,ADB,50,2,0.978,0.9841,0.7313,0.8097,7044,59
Ecobee_Thermostat,gafgyt,KNN,100,4,0.9985,0.9992,0.9809,0.9899,500,0
Ecobee_Thermostat,gafgyt,RFR,100,4,0.9959,0.9933,0.9542,0.9729,1195,116
Ecobee_Thermostat,gafgyt,DTR,100,4,0.9875,0.9203,0.9188,0.9196,2045,1995
Ecobee_Thermostat,gafgyt,ADB,100,4,0.9971,0.9941,0.9679,0.9806,837,114
Ecobee_Thermostat,gafgyt,KNN,500,21,0.9984,0.9992,0.9803,0.9896,515,0
Ecobee_Thermostat,gafgyt,RFR,500,21,0.9992,0.9926,0.9972,0.9949,64,194
Ecobee_Thermostat,gafgyt,DTR,500,21,0.9986,0.9942,0.9872,0.9907,329,137
Ecobee_Thermostat,gafgyt,ADB,500,21,0.9993,0.995,0.9966,0.9958,84,127
Ecobee_Thermostat,gafgyt,KNN,1000,42,0.9984,0.9992,0.9802,0.9895,517,0
Ecobee_Thermostat,gafgyt,RFR,1000,42,0.9988,0.9949,0.9892,0.992,278,119
Ecobee_Thermostat,gafgyt,DTR,1000,42,0.9984,0.9992,0.9804,0.9896,513,0
Ecobee_Thermostat,gafgyt,ADB,1000,42,0.9984,0.9992,0.9804,0.9896,513,0
Ecobee_Thermostat,gafgyt,KNN,5000,211,0.9983,0.9991,0.9803,0.9895,509,0
Ecobee_Thermostat,gafgyt,RFR,5000,211,0.9999,0.9991,0.9995,0.9993,11,22
Ecobee_Thermostat,gafgyt,DTR,5000,211,0.9995,0.9965,0.9977,0.9971,55,88
Ecobee_Thermostat,gafgyt,ADB,5000,211,0.9995,0.9989,0.9949,0.9969,130,23
Ecobee_Thermostat,gafgyt,KNN,10000,422,0.9978,0.9873,0.9865,0.9869,329,308
Ecobee_Thermostat,gafgyt,RFR,10000,422,0.9998,0.9984,0.9995,0.999,11,39
Ecobee_Thermostat,gafgyt,DTR,10000,422,0.9997,0.997,0.9994,0.9982,11,75
Ecobee_Thermostat,gafgyt,ADB,10000,422,0.9998,0.9987,0.9986,0.9986,35,31
Ecobee_Thermostat,gafgyt,KNN,50000,2111,0.9982,0.9975,0.9862,0.9918,301,34
Ecobee_Thermostat,gafgyt,RFR,50000,2111,0.9999,1.0,0.9995,0.9998,10,0
Ecobee_Thermostat,gafgyt,DTR,50000,2111,0.9999,0.9999,0.9988,0.9993,26,1
Ecobee_Thermostat,gafgyt,ADB,50000,2111,0.9999,0.9999,0.9991,0.9995,19,1
Ecobee_Thermostat,gafgyt,KNN,100000,4221,0.9975,0.9979,0.9873,0.9925,225,14
Ecobee_Thermostat,gafgyt,RFR,100000,4221,1.0,0.9999,1.0,0.9999,0,2
Ecobee_Thermostat,gafgyt,DTR,100000,4221,0.9999,0.9999,0.9998,0.9998,4,1
Ecobee_Thermostat,gafgyt,ADB,100000,4221,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,gafgyt,KNN,200000,8443,0.9957,0.9972,0.9895,0.9933,98,1
Ecobee_Thermostat,gafgyt,RFR,200000,8443,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,gafgyt,DTR,200000,8443,0.9999,0.9999,0.9998,0.9999,2,0
Ecobee_Thermostat,gafgyt,ADB,200000,8443,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,mirai,KNN,10,0,0.975,0.4875,0.5,0.4937,13113,0
Ecobee_Thermostat,mirai,RFR,10,0,0.975,0.4875,0.5,0.4937,13113,0
Ecobee_Thermostat,mirai,DTR,10,0,0.975,0.4875,0.5,0.4937,13113,0
Ecobee_Thermostat,mirai,ADB,10,0,0.975,0.4875,0.5,0.4937,13113,0
Ecobee_Thermostat,mirai,KNN,50,1,0.975,0.4875,0.5,0.4937,13112,0
Ecobee_Thermostat,mirai,RFR,50,1,0.9849,0.9924,0.6972,0.779,7940,0
Ecobee_Thermostat,mirai,DTR,50,1,0.9811,0.9905,0.6213,0.6904,9931,0
Ecobee_Thermostat,mirai,ADB,50,1,0.9843,0.9921,0.6859,0.767,8238,0
Ecobee_Thermostat,mirai,KNN,100,3,0.975,0.4875,0.5,0.4937,13110,0
Ecobee_Thermostat,mirai,RFR,100,3,0.9998,0.9961,0.9999,0.998,0,102
Ecobee_Thermostat,mirai,DTR,100,3,0.9971,0.9482,0.9985,0.9719,0,1515
Ecobee_Thermostat,mirai,ADB,100,3,0.9997,0.9933,0.9998,0.9965,0,178
Ecobee_Thermostat,mirai,KNN,500,13,0.9988,0.9973,0.9779,0.9874,577,53
Ecobee_Thermostat,mirai,RFR,500,13,0.9999,0.9972,0.9999,0.9985,0,75
Ecobee_Thermostat,mirai,DTR,500,13,0.9995,0.9911,0.9998,0.9954,0,237
Ecobee_Thermostat,mirai,ADB,500,13,0.9988,0.9974,0.9779,0.9874,578,51
Ecobee_Thermostat,mirai,KNN,1000,26,0.9988,0.9974,0.9778,0.9874,580,52
Ecobee_Thermostat,mirai,RFR,1000,26,0.9998,0.9959,0.9999,0.9979,0,108
Ecobee_Thermostat,mirai,DTR,1000,26,0.9999,0.9972,0.9999,0.9986,0,73
Ecobee_Thermostat,mirai,ADB,1000,26,0.9999,0.9989,0.9999,0.9994,3,28
Ecobee_Thermostat,mirai,KNN,5000,128,0.9988,0.9974,0.9777,0.9873,577,51
Ecobee_Thermostat,mirai,RFR,5000,128,0.9998,0.9969,0.9999,0.9984,0,82
Ecobee_Thermostat,mirai,DTR,5000,128,0.9998,0.9969,0.9999,0.9984,0,82
Ecobee_Thermostat,mirai,ADB,5000,128,0.9998,0.9969,0.9999,0.9984,0,82
Ecobee_Thermostat,mirai,KNN,10000,256,0.9987,0.9962,0.979,0.9875,537,80
Ecobee_Thermostat,mirai,RFR,10000,256,0.9999,0.9979,0.9999,0.9989,0,54
Ecobee_Thermostat,mirai,DTR,10000,256,0.9999,0.9978,0.9999,0.9989,0,57
Ecobee_Thermostat,mirai,ADB,10000,256,0.9999,0.9978,0.9999,0.9989,0,57
Ecobee_Thermostat,mirai,KNN,50000,1280,0.9988,0.9982,0.9836,0.9908,387,29
Ecobee_Thermostat,mirai,RFR,50000,1280,1.0,0.9999,0.9994,0.9997,14,2
Ecobee_Thermostat,mirai,DTR,50000,1280,0.9999,0.9999,0.9983,0.9991,41,2
Ecobee_Thermostat,mirai,ADB,50000,1280,0.9999,0.9997,0.9986,0.9992,33,5
Ecobee_Thermostat,mirai,KNN,100000,2560,0.9986,0.9979,0.9862,0.992,290,29
Ecobee_Thermostat,mirai,RFR,100000,2560,0.9999,0.9992,0.9999,0.9996,1,16
Ecobee_Thermostat,mirai,DTR,100000,2560,1.0,0.9996,0.9998,0.9997,3,8
Ecobee_Thermostat,mirai,ADB,100000,2560,0.9999,0.9996,0.9998,0.9997,4,8
Ecobee_Thermostat,mirai,KNN,200000,5121,0.9976,0.9985,0.9865,0.9924,215,4
Ecobee_Thermostat,mirai,RFR,200000,5121,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,mirai,DTR,200000,5121,0.9999,0.9997,0.9998,0.9998,2,5
Ecobee_Thermostat,mirai,ADB,200000,5121,1.0,1.0,0.9999,0.9999,2,0
737E_Security_Cam,gafgyt,KNN,10,2,0.8415,0.4208,0.5,0.457,62152,0
737E_Security_Cam,gafgyt,RFR,10,2,0.9447,0.9592,0.8317,0.8803,20744,947
737E_Security_Cam,gafgyt,DTR,10,2,0.8839,0.7797,0.8177,0.7964,17346,28205
737E_Security_Cam,gafgyt,ADB,10,2,0.953,0.9536,0.8659,0.9027,16252,2195
737E_Security_Cam,gafgyt,KNN,50,9,0.9919,0.9953,0.9746,0.9846,3156,0
737E_Security_Cam,gafgyt,RFR,50,9,0.9666,0.9719,0.9015,0.9324,12045,1067
737E_Security_Cam,gafgyt,DTR,50,9,0.9678,0.973,0.9053,0.9352,11571,1035
737E_Security_Cam,gafgyt,ADB,50,9,0.9744,0.9622,0.9401,0.9508,6836,3220
737E_Security_Cam,gafgyt,KNN,100,19,0.9917,0.9951,0.9738,0.9841,3262,0
737E_Security_Cam,gafgyt,RFR,100,19,0.9966,0.9939,0.9935,0.9937,695,626
737E_Security_Cam,gafgyt,DTR,100,19,0.9866,0.9748,0.9752,0.975,2585,2649
737E_Security_Cam,gafgyt,ADB,100,19,0.9943,0.9963,0.9825,0.9892,2168,54
737E_Security_Cam,gafgyt,KNN,500,94,0.9917,0.9949,0.974,0.9841,3227,24
737E_Security_Cam,gafgyt,RFR,500,94,0.9967,0.991,0.9967,0.9938,206,1098
737E_Security_Cam,gafgyt,DTR,500,94,0.9963,0.9948,0.9915,0.9931,965,461
737E_Security_Cam,gafgyt,ADB,500,94,0.9966,0.996,0.9912,0.9936,1041,291
737E_Security_Cam,gafgyt,KNN,1000,188,0.9923,0.9924,0.9787,0.9854,2552,449
737E_Security_Cam,gafgyt,RFR,1000,188,0.9969,0.9917,0.997,0.9943,174,1015
737E_Security_Cam,gafgyt,DTR,1000,188,0.9959,0.9972,0.9875,0.9923,1544,54
737E_Security_Cam,gafgyt,ADB,1000,188,0.9993,0.9989,0.9985,0.9987,170,102
737E_Security_Cam,gafgyt,KNN,5000,941,0.9945,0.9923,0.9876,0.9899,1388,663
737E_Security_Cam,gafgyt,RFR,5000,941,0.9996,0.9988,0.9996,0.9992,17,141
737E_Security_Cam,gafgyt,DTR,5000,941,0.9987,0.997,0.9983,0.9976,144,345
737E_Security_Cam,gafgyt,ADB,5000,941,0.9996,0.999,0.9996,0.9993,30,120
737E_Security_Cam,gafgyt,KNN,10000,1883,0.9952,0.9919,0.9911,0.9915,916,784
737E_Security_Cam,gafgyt,RFR,10000,1883,0.9994,0.9983,0.9995,0.9989,20,203
737E_Security_Cam,gafgyt,DTR,10000,1883,0.9985,0.9975,0.9973,0.9974,278,247
737E_Security_Cam,gafgyt,ADB,10000,1883,0.9996,0.999,0.9997,0.9994,9,116
737E_Security_Cam,gafgyt,KNN,50000,9415,0.996,0.9951,0.9932,0.9942,617,339
737E_Security_Cam,gafgyt,RFR,50000,9415,0.9999,0.9997,0.9999,0.9998,7,28
737E_Security_Cam,gafgyt,DTR,50000,9415,0.9996,0.9995,0.9993,0.9994,61,39
737E_Security_Cam,gafgyt,ADB,50000,9415,0.9999,0.9999,1.0,0.9999,0,12
737E_Security_Cam,gafgyt,KNN,100000,18829,0.9968,0.9969,0.9956,0.9962,324,127
737E_Security_Cam,gafgyt,RFR,100000,18829,0.9999,0.9999,0.9999,0.9999,2,11
737E_Security_Cam,gafgyt,DTR,100000,18829,0.9997,0.9997,0.9996,0.9997,29,11
737E_Security_Cam,gafgyt,ADB,100000,18829,0.9999,0.9999,0.9999,0.9999,2,7
737E_Security_Cam,gafgyt,KNN,200000,37658,0.9965,0.9962,0.9968,0.9965,144,12
737E_Security_Cam,gafgyt,RFR,200000,37658,0.9999,0.9999,0.9999,0.9999,0,5
737E_Security_Cam,gafgyt,DTR,200000,37658,0.9998,0.9997,0.9998,0.9998,9,2
737E_Security_Cam,gafgyt,ADB,200000,37658,0.9999,0.9999,0.9999,0.9999,0,4
737E_Security_Cam,mirai,KNN,10,1,0.8752,0.4376,0.5,0.4667,62153,0
737E_Security_Cam,mirai,RFR,10,1,0.9326,0.9643,0.73,0.7965,33564,0
737E_Security_Cam,mirai,DTR,10,1,0.8737,0.6969,0.6221,0.6458,44331,18569
737E_Security_Cam,mirai,ADB,10,1,0.9769,0.922,0.9868,0.951,0,11495
737E_Security_Cam,mirai,KNN,50,7,0.9924,0.9957,0.9697,0.9822,3765,0
737E_Security_Cam,mirai,RFR,50,7,0.9999,0.9996,0.9999,0.9997,2,55
737E_Security_Cam,mirai,DTR,50,7,0.9993,0.9974,0.9996,0.9985,0,331
737E_Security_Cam,mirai,ADB,50,7,0.9769,0.9819,0.9118,0.9431,10871,612
737E_Security_Cam,mirai,KNN,100,14,0.9924,0.9957,0.9696,0.9822,3780,0
737E_Security_Cam,mirai,RFR,100,14,0.9999,0.9996,0.9999,0.9997,0,55
737E_Security_Cam,mirai,DTR,100,14,0.9966,0.9869,0.9981,0.9924,0,1670
737E_Security_Cam,mirai,ADB,100,14,0.9988,0.9952,0.9993,0.9972,0,605
737E_Security_Cam,mirai,KNN,500,71,0.9921,0.9955,0.9686,0.9816,3899,0
737E_Security_Cam,mirai,RFR,500,71,0.9998,0.9994,0.9999,0.9996,0,80
737E_Security_Cam,mirai,DTR,500,71,0.9996,0.9985,0.9998,0.9991,0,190
737E_Security_Cam,mirai,ADB,500,71,0.9996,0.9985,0.9998,0.9991,0,190
737E_Security_Cam,mirai,KNN,1000,143,0.9921,0.9955,0.9686,0.9815,3900,0
737E_Security_Cam,mirai,RFR,1000,143,0.9999,0.9996,0.9999,0.9997,0,55
737E_Security_Cam,mirai,DTR,1000,143,0.9995,0.998,0.9997,0.9989,0,245
737E_Security_Cam,mirai,ADB,1000,143,0.9999,0.9996,0.9999,0.9997,0,55
737E_Security_Cam,mirai,KNN,5000,713,0.9928,0.9899,0.9778,0.9837,2610,832
737E_Security_Cam,mirai,RFR,5000,713,0.9999,0.9998,1.0,0.9999,0,26
737E_Security_Cam,mirai,DTR,5000,713,1.0,0.9999,1.0,0.9999,0,11
737E_Security_Cam,mirai,ADB,5000,713,1.0,0.9999,1.0,0.9999,0,11
737E_Security_Cam,mirai,KNN,10000,1426,0.9933,0.9923,0.9784,0.9852,2548,528
737E_Security_Cam,mirai,RFR,10000,1426,0.9999,0.9995,0.9999,0.9997,0,55
737E_Security_Cam,mirai,DTR,10000,1426,0.9999,0.9995,0.9999,0.9997,0,55
737E_Security_Cam,mirai,ADB,10000,1426,0.9999,0.9995,0.9999,0.9997,0,55
737E_Security_Cam,mirai,KNN,50000,7128,0.9932,0.9912,0.9841,0.9876,1626,628
737E_Security_Cam,mirai,RFR,50000,7128,1.0,1.0,1.0,1.0,0,1
737E_Security_Cam,mirai,DTR,50000,7128,1.0,1.0,0.9999,1.0,8,1
737E_Security_Cam,mirai,ADB,50000,7128,1.0,1.0,1.0,1.0,0,1
737E_Security_Cam,mirai,KNN,100000,14255,0.9922,0.9916,0.9855,0.9885,1266,452
737E_Security_Cam,mirai,RFR,100000,14255,1.0,1.0,1.0,1.0,0,2
737E_Security_Cam,mirai,DTR,100000,14255,1.0,1.0,1.0,1.0,0,3
737E_Security_Cam,mirai,ADB,100000,14255,1.0,1.0,1.0,1.0,1,3
737E_Security_Cam,mirai,KNN,200000,28510,0.9907,0.9916,0.9875,0.9895,746,189
737E_Security_Cam,mirai,RFR,200000,28510,1.0,1.0,1.0,1.0,0,0
737E_Security_Cam,mirai,DTR,200000,28510,1.0,1.0,0.9999,1.0,4,0
737E_Security_Cam,mirai,ADB,200000,28510,1.0,1.0,1.0,1.0,0,0

